Archived,CallTrace,CategoryString,CommandLine,Company,ComputerName,Contents,CreationUtcTime,CurrentDirectory,Description,DestinationHostname,DestinationIp,DestinationIsIpv6,DestinationPort,DestinationPortName,Details,EventCode,EventType,FileVersion,GrantedAccess,Hash,Hashes,Image,ImageLoaded,Image_File_Name,Initiated,IntegrityLevel,IsExecutable,Keywords,LogName,LogonGuid,LogonId,Message,OpCode,OriginalFileName,ParentCommandLine,ParentImage,ParentProcessGuid,ParentProcessId,ParentUser,PipeName,PreviousCreationUtcTime,ProcessGuid,ProcessId,Product,Protocol,QueryName,QueryResults,QueryStatus,RecordNumber,RuleName,Sid,SidType,Signature,SignatureStatus,Signed,SourceHostname,SourceImage,SourceIp,SourceIsIpv6,SourceName,SourcePort,SourcePortName,SourceProcessGUID,SourceProcessId,SourceThreadId,SourceUser,TargetFilename,TargetImage,TargetObject,TargetProcessGUID,TargetProcessId,TargetUser,TaskCategory,TerminalSessionId,Type,User,UtcTime,_raw,_time,action,category,dvc,dvc_nt_host,event_id,eventtype,host,id,index,linecount,name,parent_process,process,process_name,punct,result,service,service_id,service_name,severity,severity_id,signature,signature_id,source,sourcetype,splunk_server,splunk_server_group,subject,tag,tag::eventtype,user_group_id,user_id,vendor_product
,,,,,wrk-pprice,,,,,,,,,,,12,"4
CreateKey",,,,,C:\Windows\Explorer.EXE,,,,,,None,Microsoft-Windows-Sysmon/Operational,,,"Registry object added or deleted:
RuleName: technique_id=T1546.001,technique_name=Change Default File Association
EventType: CreateKey
UtcTime: 2024-02-14 03:43:26.880
ProcessGuid: {817bddf3-311f-65cc-0a01-000000001900}
ProcessId: 1116
Image: C:\Windows\Explorer.EXE
TargetObject: HKU\S-1-5-21-3393683511-3463148672-371912004-1001\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.evtx
User: wrk-pprice\CyberJunkie",Info,,,,,,,,,{817bddf3-311f-65cc-0a01-000000001900},1116,,,,,,118915,"technique_id=T1546.001,technique_name=Change Default File Association",S-1-5-18,5,,,,,,,,Microsoft-Windows-Sysmon,,,,,,,,,HKU\S-1-5-21-3393683511-3463148672-371912004-1001\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.evtx,,,,Dns query (rule: DnsQuery),,Information,"SYSTEM
wrk-pprice\CyberJunkie",43:26.9,"02/11/2026 07:43:26.887 PM
LogName=Microsoft-Windows-Sysmon/Operational
EventCode=12
EventType=4
ComputerName=wrk-pprice
User=SYSTEM
Sid=S-1-5-18
SidType=5
SourceName=Microsoft-Windows-Sysmon
Type=Information
RecordNumber=118915
Keywords=None
TaskCategory=Dns query (rule: DnsQuery)
OpCode=Info
Message=Registry object added or deleted:
RuleName: technique_id=T1546.001,technique_name=Change Default File Association
EventType: CreateKey
UtcTime: 2024-02-14 03:43:26.880
ProcessGuid: {817bddf3-311f-65cc-0a01-000000001900}
ProcessId: 1116
Image: C:\Windows\Explorer.EXE
TargetObject: HKU\S-1-5-21-3393683511-3463148672-371912004-1001\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.evtx
User: wrk-pprice\CyberJunkie
",2026-02-11T19:43:26.000-0800,,Dns query (rule: DnsQuery),wrk-pprice,wrk-pprice,118915,endpoint_services_processes windows_event_signature windows_ta_data,wrk-pprice,118915,SplunkEx,24,,,,,"//_::._=--/===-==---==--====__(:_)==____:\r:_=.,=__",,,,,informational,"4
CreateKey",,12,WinEventLog:Microsoft-Windows-Sysmon/Operational,WinEventLog,DESKTOP-6DT4EHE,,,track_event_signatures,track_event_signatures,,,Microsoft Windows
,,,,,wrk-pprice,,43:26.9,,,,,,,,,11,4,,,,,C:\Windows\system32\mmc.exe,,,,,,None,Microsoft-Windows-Sysmon/Operational,,,"File created:
RuleName: -
UtcTime: 2024-02-14 03:43:26.880
ProcessGuid: {817bddf3-312a-65cc-2901-000000001900}
ProcessId: 6368
Image: C:\Windows\system32\mmc.exe
TargetFilename: C:\Users\CyberJunkie\Desktop\Microsoft-Windows-Sysmon-Operational.evtx
CreationUtcTime: 2024-02-14 03:43:26.880
User: wrk-pprice\CyberJunkie",Info,,,,,,,,,{817bddf3-312a-65cc-2901-000000001900},6368,,,,,,118914,-,S-1-5-18,5,,,,,,,,Microsoft-Windows-Sysmon,,,,,,,C:\Users\CyberJunkie\Desktop\Microsoft-Windows-Sysmon-Operational.evtx,,,,,,Dns query (rule: DnsQuery),,Information,"SYSTEM
wrk-pprice\CyberJunkie",43:26.9,"02/11/2026 07:43:26.880 PM
LogName=Microsoft-Windows-Sysmon/Operational
EventCode=11
EventType=4
ComputerName=wrk-pprice
User=SYSTEM
Sid=S-1-5-18
SidType=5
SourceName=Microsoft-Windows-Sysmon
Type=Information
RecordNumber=118914
Keywords=None
TaskCategory=Dns query (rule: DnsQuery)
OpCode=Info
Message=File created:
RuleName: -
UtcTime: 2024-02-14 03:43:26.880
ProcessGuid: {817bddf3-312a-65cc-2901-000000001900}
ProcessId: 6368
Image: C:\Windows\system32\mmc.exe
TargetFilename: C:\Users\CyberJunkie\Desktop\Microsoft-Windows-Sysmon-Operational.evtx
CreationUtcTime: 2024-02-14 03:43:26.880
User: wrk-pprice\CyberJunkie
",2026-02-11T19:43:26.000-0800,,Dns query (rule: DnsQuery),wrk-pprice,wrk-pprice,118914,endpoint_services_processes windows_event_signature windows_ta_data,wrk-pprice,118914,SplunkEx,24,,,,,//_::._=--/===-==---==--====__(:_)==_:\r:_-\r:_--_::,,,,,informational,4,,11,WinEventLog:Microsoft-Windows-Sysmon/Operational,WinEventLog,DESKTOP-6DT4EHE,,,track_event_signatures,track_event_signatures,,,Microsoft Windows
,,,,,wrk-pprice,,44:18.8,,,,,,,,,11,4,,,,,C:\Windows\system32\svchost.exe,,,,,,None,Microsoft-Windows-Sysmon/Operational,,,"File created:
RuleName: technique_id=T1574.010,technique_name=Services File Permissions Weakness
UtcTime: 2024-02-14 03:43:26.192
ProcessGuid: {817bddf3-307d-65cc-2200-000000001900}
ProcessId: 1668
Image: C:\Windows\system32\svchost.exe
TargetFilename: C:\Windows\Prefetch\AUDIODG.EXE-AB22E9A6.pf
CreationUtcTime: 2023-02-01 00:44:18.791
User: NT AUTHORITY\SYSTEM",Info,,,,,,,,,{817bddf3-307d-65cc-2200-000000001900},1668,,,,,,118913,"technique_id=T1574.010,technique_name=Services File Permissions Weakness",S-1-5-18,5,,,,,,,,Microsoft-Windows-Sysmon,,,,,,,C:\Windows\Prefetch\AUDIODG.EXE-AB22E9A6.pf,,,,,,Dns query (rule: DnsQuery),,Information,"SYSTEM
NT AUTHORITY\SYSTEM",43:26.2,"02/11/2026 07:43:26.194 PM
LogName=Microsoft-Windows-Sysmon/Operational
EventCode=11
EventType=4
ComputerName=wrk-pprice
User=SYSTEM
Sid=S-1-5-18
SidType=5
SourceName=Microsoft-Windows-Sysmon
Type=Information
RecordNumber=118913
Keywords=None
TaskCategory=Dns query (rule: DnsQuery)
OpCode=Info
Message=File created:
RuleName: technique_id=T1574.010,technique_name=Services File Permissions Weakness
UtcTime: 2024-02-14 03:43:26.192
ProcessGuid: {817bddf3-307d-65cc-2200-000000001900}
ProcessId: 1668
Image: C:\Windows\system32\svchost.exe
TargetFilename: C:\Windows\Prefetch\AUDIODG.EXE-AB22E9A6.pf
CreationUtcTime: 2023-02-01 00:44:18.791
User: NT AUTHORITY\SYSTEM
",2026-02-11T19:43:26.000-0800,,Dns query (rule: DnsQuery),wrk-pprice,wrk-pprice,118913,endpoint_services_processes windows_event_signature windows_ta_data,wrk-pprice,118913,SplunkEx,24,,,,,"//_::._=--/===-==---==--====__(:_)==_:\r:_=.,=___\r:",,,,,informational,4,,11,WinEventLog:Microsoft-Windows-Sysmon/Operational,WinEventLog,DESKTOP-6DT4EHE,,,track_event_signatures,track_event_signatures,,,Microsoft Windows
,,,,,wrk-pprice,,57:53.2,,,,,,,,,11,4,,,,,C:\Windows\system32\svchost.exe,,,,,,None,Microsoft-Windows-Sysmon/Operational,,,"File created:
RuleName: technique_id=T1574.010,technique_name=Services File Permissions Weakness
UtcTime: 2024-02-14 03:42:07.718
ProcessGuid: {817bddf3-307d-65cc-2200-000000001900}
ProcessId: 1668
Image: C:\Windows\system32\svchost.exe
TargetFilename: C:\Windows\Prefetch\MSIEXEC.EXE-8FFB1633.pf
CreationUtcTime: 2023-03-23 20:57:53.236
User: NT AUTHORITY\SYSTEM",Info,,,,,,,,,{817bddf3-307d-65cc-2200-000000001900},1668,,,,,,118912,"technique_id=T1574.010,technique_name=Services File Permissions Weakness",S-1-5-18,5,,,,,,,,Microsoft-Windows-Sysmon,,,,,,,C:\Windows\Prefetch\MSIEXEC.EXE-8FFB1633.pf,,,,,,Dns query (rule: DnsQuery),,Information,"SYSTEM
NT AUTHORITY\SYSTEM",42:07.7,"02/11/2026 07:42:07.722 PM
LogName=Microsoft-Windows-Sysmon/Operational
EventCode=11
EventType=4
ComputerName=wrk-pprice
User=SYSTEM
Sid=S-1-5-18
SidType=5
SourceName=Microsoft-Windows-Sysmon
Type=Information
RecordNumber=118912
Keywords=None
TaskCategory=Dns query (rule: DnsQuery)
OpCode=Info
Message=File created:
RuleName: technique_id=T1574.010,technique_name=Services File Permissions Weakness
UtcTime: 2024-02-14 03:42:07.718
ProcessGuid: {817bddf3-307d-65cc-2200-000000001900}
ProcessId: 1668
Image: C:\Windows\system32\svchost.exe
TargetFilename: C:\Windows\Prefetch\MSIEXEC.EXE-8FFB1633.pf
CreationUtcTime: 2023-03-23 20:57:53.236
User: NT AUTHORITY\SYSTEM
",2026-02-11T19:42:07.000-0800,,Dns query (rule: DnsQuery),wrk-pprice,wrk-pprice,118912,endpoint_services_processes windows_event_signature windows_ta_data,wrk-pprice,118912,SplunkEx,24,,,,,"//_::._=--/===-==---==--====__(:_)==_:\r:_=.,=___\r:",,,,,informational,4,,11,WinEventLog:Microsoft-Windows-Sysmon/Operational,WinEventLog,DESKTOP-6DT4EHE,,,track_event_signatures,track_event_signatures,,,Microsoft Windows
,,,,,wrk-pprice,,54:29.0,,,,,,,,,11,4,,,,,C:\Windows\system32\svchost.exe,,,,,,None,Microsoft-Windows-Sysmon/Operational,,,"File created:
RuleName: technique_id=T1574.010,technique_name=Services File Permissions Weakness
UtcTime: 2024-02-14 03:42:05.734
ProcessGuid: {817bddf3-307d-65cc-2200-000000001900}
ProcessId: 1668
Image: C:\Windows\system32\svchost.exe
TargetFilename: C:\Windows\Prefetch\SMARTSCREEN.EXE-EACC1250.pf
CreationUtcTime: 2023-02-01 00:54:29.008
User: NT AUTHORITY\SYSTEM",Info,,,,,,,,,{817bddf3-307d-65cc-2200-000000001900},1668,,,,,,118911,"technique_id=T1574.010,technique_name=Services File Permissions Weakness",S-1-5-18,5,,,,,,,,Microsoft-Windows-Sysmon,,,,,,,C:\Windows\Prefetch\SMARTSCREEN.EXE-EACC1250.pf,,,,,,Dns query (rule: DnsQuery),,Information,"SYSTEM
NT AUTHORITY\SYSTEM",42:05.7,"02/11/2026 07:42:05.736 PM
LogName=Microsoft-Windows-Sysmon/Operational
EventCode=11
EventType=4
ComputerName=wrk-pprice
User=SYSTEM
Sid=S-1-5-18
SidType=5
SourceName=Microsoft-Windows-Sysmon
Type=Information
RecordNumber=118911
Keywords=None
TaskCategory=Dns query (rule: DnsQuery)
OpCode=Info
Message=File created:
RuleName: technique_id=T1574.010,technique_name=Services File Permissions Weakness
UtcTime: 2024-02-14 03:42:05.734
ProcessGuid: {817bddf3-307d-65cc-2200-000000001900}
ProcessId: 1668
Image: C:\Windows\system32\svchost.exe
TargetFilename: C:\Windows\Prefetch\SMARTSCREEN.EXE-EACC1250.pf
CreationUtcTime: 2023-02-01 00:54:29.008
User: NT AUTHORITY\SYSTEM
",2026-02-11T19:42:05.000-0800,,Dns query (rule: DnsQuery),wrk-pprice,wrk-pprice,118911,endpoint_services_processes windows_event_signature windows_ta_data,wrk-pprice,118911,SplunkEx,24,,,,,"//_::._=--/===-==---==--====__(:_)==_:\r:_=.,=___\r:",,,,,informational,4,,11,WinEventLog:Microsoft-Windows-Sysmon/Operational,WinEventLog,DESKTOP-6DT4EHE,,,track_event_signatures,track_event_signatures,,,Microsoft Windows
,,,,,wrk-pprice,,,,,-,93.184.216.34,FALSE,80,-,,3,4,,,,,C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe,,,TRUE,,,None,Microsoft-Windows-Sysmon/Operational,,,"Network connection detected:
RuleName: technique_id=T1036,technique_name=Masquerading
UtcTime: 2024-02-14 03:41:57.159
ProcessGuid: {817bddf3-3684-65cc-2d02-000000001900}
ProcessId: 10672
Image: C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe
User: wrk-pprice\CyberJunkie
Protocol: tcp
Initiated: true
SourceIsIpv6: false
SourceIp: 172.17.79.132
SourceHostname: -
SourcePort: 61177
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 93.184.216.34
DestinationHostname: -
DestinationPort: 80
DestinationPortName: -",Info,,,,,,,,,{817bddf3-3684-65cc-2d02-000000001900},10672,,tcp,,,,118910,"technique_id=T1036,technique_name=Masquerading",S-1-5-18,5,,,,-,,172.17.79.132,FALSE,Microsoft-Windows-Sysmon,61177,-,,,,,,,,,,,Dns query (rule: DnsQuery),,Information,"SYSTEM
wrk-pprice\CyberJunkie",41:57.2,"02/11/2026 07:41:58.905 PM
LogName=Microsoft-Windows-Sysmon/Operational
EventCode=3
EventType=4
ComputerName=wrk-pprice
User=SYSTEM
Sid=S-1-5-18
SidType=5
SourceName=Microsoft-Windows-Sysmon
Type=Information
RecordNumber=118910
Keywords=None
TaskCategory=Dns query (rule: DnsQuery)
OpCode=Info
Message=Network connection detected:
RuleName: technique_id=T1036,technique_name=Masquerading
UtcTime: 2024-02-14 03:41:57.159
ProcessGuid: {817bddf3-3684-65cc-2d02-000000001900}
ProcessId: 10672
Image: C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe
User: wrk-pprice\CyberJunkie
Protocol: tcp
Initiated: true
SourceIsIpv6: false
SourceIp: 172.17.79.132
SourceHostname: -
SourcePort: 61177
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 93.184.216.34
DestinationHostname: -
DestinationPort: 80
DestinationPortName: -
",2026-02-11T19:41:58.000-0800,,Dns query (rule: DnsQuery),wrk-pprice,wrk-pprice,118910,endpoint_services_processes windows_event_signature windows_ta_data,wrk-pprice,118910,SplunkEx,34,,,,,"//_::._=--/===-==---==--====__(:_)==__:\r:_=,=\r:_--",,,,,informational,4,,3,WinEventLog:Microsoft-Windows-Sysmon/Operational,WinEventLog,DESKTOP-6DT4EHE,,,track_event_signatures,track_event_signatures,,,Microsoft Windows
,,,,,wrk-pprice,,41:58.8,,,,,,,,,11,4,,,,,C:\Windows\system32\svchost.exe,,,,,,None,Microsoft-Windows-Sysmon/Operational,,,"File created:
RuleName: technique_id=T1574.010,technique_name=Services File Permissions Weakness
UtcTime: 2024-02-14 03:41:58.795
ProcessGuid: {817bddf3-307d-65cc-2200-000000001900}
ProcessId: 1668
Image: C:\Windows\system32\svchost.exe
TargetFilename: C:\Windows\Prefetch\PREVENTIVO24.02.14.EXE.EXE-74B3D8B7.pf
CreationUtcTime: 2024-02-14 03:41:58.795
User: NT AUTHORITY\SYSTEM",Info,,,,,,,,,{817bddf3-307d-65cc-2200-000000001900},1668,,,,,,118909,"technique_id=T1574.010,technique_name=Services File Permissions Weakness",S-1-5-18,5,,,,,,,,Microsoft-Windows-Sysmon,,,,,,,C:\Windows\Prefetch\PREVENTIVO24.02.14.EXE.EXE-74B3D8B7.pf,,,,,,Dns query (rule: DnsQuery),,Information,"SYSTEM
NT AUTHORITY\SYSTEM",41:58.8,"02/11/2026 07:41:58.802 PM
LogName=Microsoft-Windows-Sysmon/Operational
EventCode=11
EventType=4
ComputerName=wrk-pprice
User=SYSTEM
Sid=S-1-5-18
SidType=5
SourceName=Microsoft-Windows-Sysmon
Type=Information
RecordNumber=118909
Keywords=None
TaskCategory=Dns query (rule: DnsQuery)
OpCode=Info
Message=File created:
RuleName: technique_id=T1574.010,technique_name=Services File Permissions Weakness
UtcTime: 2024-02-14 03:41:58.795
ProcessGuid: {817bddf3-307d-65cc-2200-000000001900}
ProcessId: 1668
Image: C:\Windows\system32\svchost.exe
TargetFilename: C:\Windows\Prefetch\PREVENTIVO24.02.14.EXE.EXE-74B3D8B7.pf
CreationUtcTime: 2024-02-14 03:41:58.795
User: NT AUTHORITY\SYSTEM
",2026-02-11T19:41:58.000-0800,,Dns query (rule: DnsQuery),wrk-pprice,wrk-pprice,118909,endpoint_services_processes windows_event_signature windows_ta_data,wrk-pprice,118909,SplunkEx,24,,,,,"//_::._=--/===-==---==--====__(:_)==_:\r:_=.,=___\r:",,,,,informational,4,,11,WinEventLog:Microsoft-Windows-Sysmon/Operational,WinEventLog,DESKTOP-6DT4EHE,,,track_event_signatures,track_event_signatures,,,Microsoft Windows
,,,,,wrk-pprice,,,,,,,,,,Binary Data,13,"4
SetValue",,,,,C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe,,,,,,None,Microsoft-Windows-Sysmon/Operational,,,"Registry value set:
RuleName: technique_id=T1543,technique_name=Service Creation
EventType: SetValue
UtcTime: 2024-02-14 03:41:58.795
ProcessGuid: {817bddf3-3684-65cc-2d02-000000001900}
ProcessId: 10672
Image: C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe
TargetObject: HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-3393683511-3463148672-371912004-1001\\Device\HarddiskVolume3\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe
Details: Binary Data
User: wrk-pprice\CyberJunkie",Info,,,,,,,,,{817bddf3-3684-65cc-2d02-000000001900},10672,,,,,,118908,"technique_id=T1543,technique_name=Service Creation",S-1-5-18,5,,,,,,,,Microsoft-Windows-Sysmon,,,,,,,,,HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-3393683511-3463148672-371912004-1001\\Device\HarddiskVolume3\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe,,,,Dns query (rule: DnsQuery),,Information,"SYSTEM
wrk-pprice\CyberJunkie",41:58.8,"02/11/2026 07:41:58.799 PM
LogName=Microsoft-Windows-Sysmon/Operational
EventCode=13
EventType=4
ComputerName=wrk-pprice
User=SYSTEM
Sid=S-1-5-18
SidType=5
SourceName=Microsoft-Windows-Sysmon
Type=Information
RecordNumber=118908
Keywords=None
TaskCategory=Dns query (rule: DnsQuery)
OpCode=Info
Message=Registry value set:
RuleName: technique_id=T1543,technique_name=Service Creation
EventType: SetValue
UtcTime: 2024-02-14 03:41:58.795
ProcessGuid: {817bddf3-3684-65cc-2d02-000000001900}
ProcessId: 10672
Image: C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe
TargetObject: HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-3393683511-3463148672-371912004-1001\\Device\HarddiskVolume3\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe
Details: Binary Data
User: wrk-pprice\CyberJunkie
",2026-02-11T19:41:58.000-0800,,Dns query (rule: DnsQuery),wrk-pprice,wrk-pprice,118908,endpoint_services_processes windows_event_signature windows_ta_data,wrk-pprice,118908,SplunkEx,25,,,,,"//_::._=--/===-==---==--====__(:_)==__:\r:_=,=_\r:_\r",,,,,informational,"4
SetValue",,13,WinEventLog:Microsoft-Windows-Sysmon/Operational,WinEventLog,DESKTOP-6DT4EHE,,,track_event_signatures,track_event_signatures,,,Microsoft Windows
,,,,,wrk-pprice,,,,,,,,,,,5,4,,,,,C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe,,,,,,None,Microsoft-Windows-Sysmon/Operational,,,"Process terminated:
RuleName: -
UtcTime: 2024-02-14 03:41:58.795
ProcessGuid: {817bddf3-3684-65cc-2d02-000000001900}
ProcessId: 10672
Image: C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe
User: wrk-pprice\CyberJunkie",Info,,,,,,,,,{817bddf3-3684-65cc-2d02-000000001900},10672,,,,,,118907,-,S-1-5-18,5,,,,,,,,Microsoft-Windows-Sysmon,,,,,,,,,,,,,Dns query (rule: DnsQuery),,Information,"SYSTEM
wrk-pprice\CyberJunkie",41:58.8,"02/11/2026 07:41:58.799 PM
LogName=Microsoft-Windows-Sysmon/Operational
EventCode=5
EventType=4
ComputerName=wrk-pprice
User=SYSTEM
Sid=S-1-5-18
SidType=5
SourceName=Microsoft-Windows-Sysmon
Type=Information
RecordNumber=118907
Keywords=None
TaskCategory=Dns query (rule: DnsQuery)
OpCode=Info
Message=Process terminated:
RuleName: -
UtcTime: 2024-02-14 03:41:58.795
ProcessGuid: {817bddf3-3684-65cc-2d02-000000001900}
ProcessId: 10672
Image: C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe
User: wrk-pprice\CyberJunkie
",2026-02-11T19:41:58.000-0800,,Dns query (rule: DnsQuery),wrk-pprice,wrk-pprice,118907,endpoint_services_processes windows_event_signature windows_ta_data,wrk-pprice,118907,SplunkEx,22,,,,,//_::._=--/===-==---==--====__(:_)==_:\r:_-\r:_--_::,,,,,informational,4,,5,WinEventLog:Microsoft-Windows-Sysmon/Operational,WinEventLog,DESKTOP-6DT4EHE,,,track_event_signatures,track_event_signatures,,,Microsoft Windows
,,,,,wrk-pprice,,,,,,,,,,,22,4,,,,,C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe,,,,,,None,Microsoft-Windows-Sysmon/Operational,,,"Dns query:
RuleName: -
UtcTime: 2024-02-14 03:41:56.955
ProcessGuid: {817bddf3-3684-65cc-2d02-000000001900}
ProcessId: 10672
QueryName: www.example.com
QueryStatus: 0
QueryResults: ::ffff:93.184.216.34;199.43.135.53;2001:500:8f::53;199.43.133.53;2001:500:8d::53;
Image: C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe
User: wrk-pprice\CyberJunkie",Info,,,,,,,,,{817bddf3-3684-65cc-2d02-000000001900},10672,,,www.example.com,::ffff:93.184.216.34;199.43.135.53;2001:500:8f::53;199.43.133.53;2001:500:8d::53;,0,118906,-,S-1-5-18,5,,,,,,,,Microsoft-Windows-Sysmon,,,,,,,,,,,,,Dns query (rule: DnsQuery),,Information,"SYSTEM
wrk-pprice\CyberJunkie",41:57.0,"02/11/2026 07:41:58.764 PM
LogName=Microsoft-Windows-Sysmon/Operational
EventCode=22
EventType=4
ComputerName=wrk-pprice
User=SYSTEM
Sid=S-1-5-18
SidType=5
SourceName=Microsoft-Windows-Sysmon
Type=Information
RecordNumber=118906
Keywords=None
TaskCategory=Dns query (rule: DnsQuery)
OpCode=Info
Message=Dns query:
RuleName: -
UtcTime: 2024-02-14 03:41:56.955
ProcessGuid: {817bddf3-3684-65cc-2d02-000000001900}
ProcessId: 10672
QueryName: www.example.com
QueryStatus: 0
QueryResults: ::ffff:93.184.216.34;199.43.135.53;2001:500:8f::53;199.43.133.53;2001:500:8d::53;
Image: C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe
User: wrk-pprice\CyberJunkie
",2026-02-11T19:41:58.000-0800,,Dns query (rule: DnsQuery),wrk-pprice,wrk-pprice,118906,endpoint_services_processes windows_event_signature windows_ta_data,wrk-pprice,118906,SplunkEx,25,,,,,//_::._=--/===-==---==--====__(:_)==_:\r:_-\r:_--_::,,,,,informational,4,,22,WinEventLog:Microsoft-Windows-Sysmon/Operational,WinEventLog,DESKTOP-6DT4EHE,,,track_event_signatures,track_event_signatures,,,Microsoft Windows
